Unnamed..0,Artist,Album,Album_Id,Popularity,Fan_Genre,SongList,average_liveness,average_loudness,average_tempo,average_instrumentalness,average_energy,average_danceability,average_acousticness,average_valence,Album_release,Album_length,Album_label
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,
751,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,
663,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,
829,,,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,,,,
842,,,,,,,,,,,,,,,,,
848,,,,,,,,,,,,,,,,,
858,,,,,,,,,,,,,,,,,
859,,,,,,,,,,,,,,,,,
863,,,,,,,,,,,,,,,,,
868,,,,,,,,,,,,,,,,,
869,,,,,,,,,,,,,,,,,
877,,,,,,,,,,,,,,,,,
881,,,,,,,,,,,,,,,,,
882,,,,,,,,,,,,,,,,,
896,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
